campaign,brand,ad_group,keyword,match_type,intent,priority,evidence,notes,volume,competition,cpc_low,cpc_high
N2-NL-AI-Tools,Lovable,AG-NL-Lovable,lovable app laten afmaken,Phrase,Service,P1,Tier C,Chinh xac nhat trong nhom Lovable NL.,0,,,
N2-NL-AI-Tools,Lovable,AG-NL-Lovable,lovable developer nederland,Phrase,Hire,P2,Tier C,Tim nguoi lam Lovable tai NL.,0,,,
N2-NL-AI-Tools,Lovable,AG-NL-Lovable,lovable app beveiligen,Phrase,Security,P1,Tier C,'beveiligen' = secure. Noi voi noi dau RLS/Supabase.,0,,,
N2-NL-AI-Tools,Lovable,AG-NL-Lovable,lovable app live zetten,Phrase,Service,P1,Tier C,'live zetten' = deploy/go live. Cach noi tu nhien nhat cua NL.,0,,,
N2-NL-AI-Tools,Lovable,AG-NL-Lovable,lovable alternatief,Phrase,Decision,P3,Tier C,Intent roi bo tool. Chi chay neu LP co noi dung so sanh.,0,,,
N2-NL-AI-Tools,Bolt,AG-NL-Bolt,bolt new app laten afmaken,Phrase,Service,P1,Tier C,BAT BUOC dung 'bolt new' chu KHONG dung 'bolt' don le - Bolt la hang taxi #2 tai NL.,0,,,
N2-NL-AI-Tools,Bolt,AG-NL-Bolt,bolt new app live zetten,Phrase,Service,P1,Tier C,Luon kem 'new'.,0,,,
N2-NL-AI-Tools,Bolt,AG-NL-Bolt,bolt new developer,Phrase,Hire,P2,Tier C,Luon kem 'new'.,10,,,
N2-NL-AI-Tools,Bolt,AG-NL-Bolt,app gebouwd met bolt,Phrase,Service,P2,Tier C,'gebouwd met' = built with. Ngu canh nay loai bo taxi Bolt tot hon.,0,,,
N2-NL-AI-Tools,Replit,AG-NL-Replit,replit app laten afmaken,Phrase,Service,P1,Tier C,Brand Replit khong bi lan thuong hieu tai NL.,0,,,
N2-NL-AI-Tools,Replit,AG-NL-Replit,replit app live zetten,Phrase,Service,P1,Tier C,Deploy intent.,0,,,
N2-NL-AI-Tools,Replit,AG-NL-Replit,replit kosten te hoog,Phrase,Cost,P1,Tier C,'kosten te hoog' = cost too high. Trigger roi bo Replit -> migration.,0,,,
N2-NL-AI-Tools,Replit,AG-NL-Replit,weg van replit,Phrase,Decision,P2,Tier C,'weg van' = away from. Intent migration.,0,,,
N2-NL-AI-Tools,Replit,AG-NL-Replit,replit app naar eigen server,Phrase,Service,P1,Tier C,'eigen server' = own server. Dich vu migration ro rang.,0,,,
N2-NL-AI-Tools,Replit,AG-NL-Replit,replit developer nederland,Phrase,Hire,P2,Tier C,Hire intent + geo.,0,,,
N3-NL-Security,Generic,AG-NL-Security,ai app beveiligen,Phrase,Security,P1,Tier C,Core security intent bang NL.,0,,,
N3-NL-Security,Generic,AG-NL-Security,beveiligingsaudit webapplicatie,Phrase,Service,P1,Tier B,Thuat ngu chuan cua nganh security NL. Co doi thu -> co volume.,0,,,
N3-NL-Security,Generic,AG-NL-Security,security audit laten uitvoeren,Phrase,Service,P1,Tier B,'laten uitvoeren' = have performed.,0,,,
N3-NL-Security,Generic,AG-NL-Security,code audit laten uitvoeren,Phrase,Service,P2,Tier C,"Hep hon, intent ky thuat hon.",0,,,
N3-NL-Security,Generic,AG-NL-Security,pentest webapplicatie,Phrase,Service,P2,Tier B,CANH BAO: co the keo khach doanh nghiep lon ngoai ICP. Theo doi CPL.,10,,,
N3-NL-Security,Generic,AG-NL-Security,app avg proof maken,Phrase,Compliance,P1,Tier C,AVG = GDPR trong tieng Ha Lan. KHONG dich 'GDPR' - nguoi NL go 'AVG'.,0,,,
N3-NL-Security,Generic,AG-NL-Security,avg compliance webapp,Phrase,Compliance,P1,Tier C,Bien the pho bien.,0,,,
N3-NL-Security,Generic,AG-NL-Security,persoonsgegevens beveiligen app,Phrase,Compliance,P2,Tier C,'persoonsgegevens' = personal data. Ngon ngu phap ly AVG.,0,,,
N3-NL-Security,Generic,AG-NL-Security,datalek voorkomen app,Phrase,Security,P2,Tier C,'datalek' = data breach. Intent phong ngua.,0,,,
N3-NL-Security,Generic,AG-NL-Security,supabase beveiliging,Phrase,Security,P2,Tier C,"Ten tool giu tieng Anh, danh tu ghep NL.",0,,,
N3-NL-Security,Generic,AG-NL-Security,due diligence software audit,Phrase,Service,P1,Tier C,Trigger goi von. Gia tri don hang cao nhat.,0,,,
N3-NL-Security,Generic,AG-NL-Security,technische due diligence,Phrase,Service,P1,Tier B,Thuat ngu chuan gioi VC/M&A tai NL.,40,,,
N4-NL-Payments,Generic,AG-NL-Payments,ideal betaling toevoegen app,Phrase,Service,P1,Tier C,iDEAL = phuong thuc thanh toan so 1 tai NL. Doi thu nuoc ngoai khong nhac toi.,0,,,
N4-NL-Payments,Generic,AG-NL-Payments,ideal koppelen webshop,Phrase,Service,P2,Tier B,CANH BAO: keo traffic webshop/Shopify ngoai ICP. Theo doi sat.,0,,,
N4-NL-Payments,Generic,AG-NL-Payments,mollie koppelen app,Phrase,Service,P1,Tier C,"Mollie = PSP Ha Lan, pho bien hon Stripe o SMB NL.",0,,,
N4-NL-Payments,Generic,AG-NL-Payments,mollie integratie laten bouwen,Phrase,Hire,P1,Tier C,Hire intent ro rang.,0,,,
N4-NL-Payments,Generic,AG-NL-Payments,stripe koppelen app,Phrase,Service,P1,Tier C,Stripe pho bien voi SaaS founder NL.,0,,,
N4-NL-Payments,Generic,AG-NL-Payments,stripe integratie nederland,Phrase,Hire,P2,Tier C,Geo + tool.,0,,,
N4-NL-Payments,Generic,AG-NL-Payments,betalingen toevoegen aan app,Phrase,Service,P1,Tier C,"Cach dien dat chung, khong gan PSP nao.",0,,,
N4-NL-Payments,Generic,AG-NL-Payments,abonnementen in app bouwen,Phrase,Service,P2,Tier C,'abonnementen' = subscriptions. Intent SaaS billing.,0,,,
N4-NL-Payments,Generic,AG-NL-Payments,inlogsysteem laten bouwen,Phrase,Service,P2,Tier C,'inlogsysteem' = login system. Auth la loi dau bang cua app AI.,0,,,
N4-NL-Payments,Generic,AG-NL-Payments,gebruikersbeheer app bouwen,Phrase,Service,P3,Tier C,'gebruikersbeheer' = user management.,0,,,
