cluster,ad_group,keyword,match_type,intent,ads_priority,volume_signal,notes
3-Security-Cleanup,AG-SEC-Cleanup,rescue failed mvp,Phrase,Service,P2,Unverified-B,
3-Security-Cleanup,AG-SEC-Cleanup,mvp rescue service,Phrase,Service,P2,Unverified-C,
3-Security-Cleanup,AG-SEC-Audit,ai app security audit,Phrase,Service,P1,Unverified-B,
3-Security-Cleanup,AG-SEC-Audit,ai generated code security audit,Phrase,Service,P1,Unverified-B,
3-Security-Cleanup,AG-SEC-Audit,ai code security review,Phrase,Service,P2,Unverified-B,
3-Security-Cleanup,AG-SEC-Audit,web app security audit,Phrase,Service,P2,Unverified-B,Cạnh tranh với pentest firm
3-Security-Cleanup,AG-SEC-Audit,production readiness audit,Phrase,Service,P2,Unverified-B,
3-Security-Cleanup,AG-SEC-Audit,code audit service,Phrase,Service,P2,Unverified-B,
3-Security-Cleanup,AG-SEC-Audit,technical due diligence code audit,Phrase,Service,P2,Unverified-B,Trigger gọi vốn
3-Security-Cleanup,AG-SEC-Tool,lovable security,Phrase,Research,P2,Unverified-A,4+ đối thủ đang rank
3-Security-Cleanup,AG-SEC-Tool,is lovable secure,Phrase,Research,P2,Unverified-A,
3-Security-Cleanup,AG-SEC-Tool,lovable security vulnerabilities,Phrase,Research,P2,Unverified-A,
3-Security-Cleanup,AG-SEC-Tool,lovable security audit,Phrase,Service,P1,Unverified-B,
3-Security-Cleanup,AG-SEC-Tool,supabase rls,Phrase,Research,P3,Unverified-A,Volume lập trình viên không phải founder
3-Security-Cleanup,AG-SEC-Tool,supabase security,Phrase,Research,P3,Unverified-A,
3-Security-Cleanup,AG-SEC-Tool,supabase rls audit,Phrase,Service,P2,Unverified-B,
3-Security-Cleanup,AG-SEC-Tool,supabase security checklist,Phrase,Research,P3,Unverified-A,
3-Security-Cleanup,AG-SEC-Tool,exposed api key frontend,Phrase,Security,P3,Unverified-B,
3-Security-Cleanup,AG-SEC-Tool,ai app data leak,Phrase,Security,P3,Unverified-C,
3-Security-Cleanup,AG-SEC-Compliance,gdpr ai app,Phrase,Compliance,P2,Unverified-B,
3-Security-Cleanup,AG-SEC-Compliance,gdpr compliance web application,Phrase,Compliance,P2,Unverified-B,
3-Security-Cleanup,AG-SEC-Compliance,owasp llm top 10,Phrase,Research,P3,Unverified-B,
NL-Dutch,AG-NL-Rescue,prototype naar productie,Phrase,Decision,P1,Unverified-B,Từ khoá dịch vụ lõi NL
NL-Dutch,AG-NL-Rescue,ai app laten bouwen,Phrase,Hire,P1,Unverified-B,
NL-Dutch,AG-NL-Rescue,ai app laten afmaken,Phrase,Hire,P1,Unverified-C,
NL-Dutch,AG-NL-Rescue,mvp laten bouwen,Phrase,Hire,P1,Unverified-B,
NL-Dutch,AG-NL-Rescue,prototype live zetten,Phrase,Hire,P2,Unverified-C,
NL-Dutch,AG-NL-Rescue,app productieklaar maken,Phrase,Hire,P2,Unverified-C,
NL-Dutch,AG-NL-Vibe,vibe coding nederland,Phrase,Research,P3,Unverified-B,6+ agency NL đã viết
NL-Dutch,AG-NL-Vibe,vibe coding beveiliging,Phrase,Security,P2,Unverified-B,
NL-Dutch,AG-NL-Vibe,vibe coding uitbesteden,Phrase,Hire,P2,Unverified-C,
NL-Dutch,AG-NL-Security,beveiligingsaudit webapplicatie,Phrase,Service,P1,Unverified-B,
NL-Dutch,AG-NL-Security,code audit laten uitvoeren,Phrase,Service,P1,Unverified-B,
NL-Dutch,AG-NL-Security,security audit software laten doen,Phrase,Service,P2,Unverified-C,
NL-Dutch,AG-NL-Security,avg compliance app,Phrase,Compliance,P2,Unverified-B,AVG chứ không phải GDPR ở NL
NL-Dutch,AG-NL-Security,pentest webapplicatie,Phrase,Service,P2,Unverified-B,
NL-Dutch,AG-NL-Security,applicatie beveiliging laten testen,Phrase,Service,P2,Unverified-C,
