campaign,brand,ad_group,keyword,match_type,intent,priority,evidence,notes,volume,competition,cpc_low,cpc_high
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new not working,Phrase,Fix,P2,Tier A,appstuck có bài riêng,10,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new preview vs production,Phrase,Fix,P2,Tier A,,0,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new production error,Phrase,Fix,P2,Tier A,,0,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new deployment,Phrase,Fix,P2,Tier A,,10,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new deploy error,Phrase,Fix,P2,Tier B,,0,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new environment variables,Phrase,Fix,P2,Tier B,Nguyên nhân số 1 app AI chết khi deploy,10,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new cors error,Phrase,Fix,P3,Tier B,WebContainer same-origin,0,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new bundle too large,Phrase,Fix,P3,Tier B,,0,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new netlify deploy,Phrase,Fix,P3,Tier B,,0,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new supabase,Phrase,How-to,P3,Tier B,,10,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new stripe,Phrase,How-to,P3,Tier C,,10,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new custom domain,Phrase,Fix,P3,Tier C,,10,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new blank page,Phrase,Fix,P3,Tier C,,10,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new export code,Phrase,How-to,P2,Tier B,,10,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new token limit,Phrase,Cost,P3,Tier C,,10,,,
B2-Bolt,Bolt,AG-BOLT-Problem,bolt new security,Phrase,Security,P2,Tier C,,10,,,
B3-Replit,Replit,AG-REP-Hire,fix replit app,Phrase,Hire,P1,Tier B,,0,,,
B3-Replit,Replit,AG-REP-Hire,replit developer for hire,Phrase,Hire,P1,Tier B,,0,,,
B3-Replit,Replit,AG-REP-Hire,hire replit developer,Exact,Hire,P1,Tier C,,10,,,
B3-Replit,Replit,AG-REP-Hire,replit app to production,Phrase,Service,P1,Tier B,,0,,,
B3-Replit,Replit,AG-REP-Hire,replit app developer,Phrase,Hire,P2,Tier B,,0,,,
B3-Replit,Replit,AG-REP-Hire,replit agency,Phrase,Hire,P2,Tier C,,210,,,
B3-Replit,Replit,AG-REP-Hire,replit production ready,Phrase,Service,P1,Tier C,,0,,,
B3-Replit,Replit,AG-REP-Problem,replit not working,Phrase,Fix,P3,Tier A,appstuck có bài riêng,10,,,
B3-Replit,Replit,AG-REP-Problem,replit app not working,Phrase,Fix,P2,Tier A,,0,,,
B3-Replit,Replit,AG-REP-Problem,replit deployment failed,Phrase,Fix,P2,Tier A,,0,,,
B3-Replit,Replit,AG-REP-Problem,replit deployment error,Phrase,Fix,P2,Tier B,,0,,,
B3-Replit,Replit,AG-REP-Problem,replit agent not working,Phrase,Fix,P3,Tier A,,10,,,
B3-Replit,Replit,AG-REP-Problem,replit agent stuck,Phrase,Fix,P3,Tier B,,10,,,
B3-Replit,Replit,AG-REP-Problem,replit database connection error,Phrase,Fix,P2,Tier A,,0,,,
B3-Replit,Replit,AG-REP-Problem,replit secrets not working,Phrase,Fix,P3,Tier B,,0,,,
B3-Replit,Replit,AG-REP-Problem,replit custom domain,Phrase,Fix,P3,Tier B,,10,,,
B3-Replit,Replit,AG-REP-Problem,replit app slow,Phrase,Fix,P3,Tier C,,0,,,
B3-Replit,Replit,AG-REP-Problem,replit app crashes,Phrase,Fix,P3,Tier C,,0,,,
B3-Replit,Replit,AG-REP-Problem,replit security,Phrase,Security,P2,Tier B,,10,,,
B3-Replit,Replit,AG-REP-Cost,replit reserved vm cost,Phrase,Cost,P1,Tier A,Chi phí bất ngờ là pain point lớn nhất,0,,,
B3-Replit,Replit,AG-REP-Cost,replit autoscale vs reserved vm,Phrase,Decision,P1,Tier A,,0,,,
B3-Replit,Replit,AG-REP-Cost,replit deployment cost,Phrase,Cost,P1,Tier A,,10,,,
B3-Replit,Replit,AG-REP-Cost,replit pricing too expensive,Phrase,Cost,P1,Tier B,,0,,,
B3-Replit,Replit,AG-REP-Cost,replit hosting cost,Phrase,Cost,P2,Tier B,,10,,,
B3-Replit,Replit,AG-REP-Cost,migrate off replit,Phrase,Decision,P1,Tier B,,0,,,
B3-Replit,Replit,AG-REP-Cost,replit export to vercel,Phrase,How-to,P2,Tier A,appstuck có bài riêng,0,,,
B3-Replit,Replit,AG-REP-Cost,replit export code,Phrase,How-to,P2,Tier B,,10,,,
B3-Replit,Replit,AG-REP-Cost,replit alternative production,Phrase,Decision,P2,Tier C,,0,,,
B3-Replit,Replit,AG-REP-Cost,move replit app to own server,Phrase,Service,P1,Tier C,,0,,,
