32,"saas ai",30,45,Medium,2.76,8.82,20,10,20,20,20,20,30,30,50,30,20,30
33,"ai and security",20,56,Medium,6.23,23.77,10,20,10,10,20,20,10,20,40,40,20,30
34,"ai prototype",20,36,Medium,1.49,6.59,20,20,20,40,30,20,20,30,20,20,20,20
35,"ai software developers",20,61,Medium,4.60,42.66,30,40,40,30,20,10,10,10,20,20,20,10
36,"security and ai",20,56,Medium,6.23,23.77,10,20,10,10,20,20,10,20,40,40,20,30
37,"security in ai",20,56,Medium,6.23,23.77,10,20,10,10,20,20,10,20,40,40,20,30
38,"2 software",10,0,Low,0.00,0.00,10,10,0,10,0,10,10,0,10,10,10,10
39,"actual ai",10,0,Low,0.00,0.00,10,10,10,10,10,10,10,10,10,10,10,10
40,"ai access",10,3,Low,0.00,0.00,10,10,10,10,10,10,10,10,10,10,10,10
41,"ai and api",10,0,Low,0.00,0.00,0,0,10,10,10,0,10,0,0,10,0,0
42,"ai and privacy issues",10,0,Low,0.00,0.00,0,0,0,10,0,0,10,0,0,10,0,0
43,"ai app dev",10,59,Medium,4.00,10.15,10,20,30,20,10,10,10,20,30,10,10,10
44,"ai based security",10,0,Low,0.00,0.00,10,0,0,0,0,0,0,0,10,10,0,0
45,"ai best app",10,0,Low,0.00,0.00,10,10,10,10,10,20,10,10,10,10,10,0
46,"ai best website",10,0,Low,0.00,0.00,0,0,0,10,10,0,10,10,10,0,0,0
47,"ai best websites",10,0,Low,0.00,0.00,0,0,0,10,10,0,10,10,10,0,0,0
48,"ai bugs",10,0,Low,0.00,0.00,0,10,10,10,0,10,10,10,10,10,10,10
49,"ai build app",10,78,High,3.42,13.32,10,10,10,10,10,20,10,20,10,10,30,20
50,"ai code development",10,0,Low,0.00,0.00,10,0,0,0,10,10,10,10,10,10,10,10
51,"ai code download",10,0,Low,0.00,0.00,0,0,0,0,10,10,0,0,0,0,0,0
52,"ai data security",10,40,Medium,9.36,29.70,20,10,10,10,10,10,0,0,10,10,10,10
53,"ai deployment",10,44,Medium,5.24,16.16,10,10,10,10,10,10,10,10,10,20,10,10
54,"ai download for free",10,0,Low,0.00,0.00,10,10,10,10,10,10,10,10,10,10,10,10
55,"ai download free",10,71,High,0.00,0.00,30,10,10,10,10,10,10,10,10,10,10,10
56,"ai for db",10,57,Medium,0.00,0.00,0,10,0,10,10,10,10,0,0,10,0,10
57,"ai for development",10,11,Low,0.00,0.00,10,10,10,10,10,10,10,10,10,10,10,10
58,"ai for software engineering",10,57,Medium,1.18,5.70,10,10,10,10,10,10,10,10,10,10,10,10
59,"ai frontend",10,24,Low,0.00,0.00,10,10,20,10,10,10,10,10,10,10,10,10
60,"ai generated application",10,57,Medium,1.72,6.26,10,10,10,10,10,10,10,10,10,10,10,10
61,"ai generated tool",10,29,Low,0.00,0.00,10,10,10,10,0,10,10,10,10,10,10,10
62,"ai in app",10,31,Low,0.00,0.00,10,10,10,10,10,10,10,10,10,10,10,10
63,"ai in database",10,29,Low,0.00,0.00,0,0,10,10,10,10,0,0,0,10,10,10
64,"ai in development",10,7,Low,0.00,0.00,0,10,10,10,10,10,10,10,10,10,10,10
65,"ai in it security",10,57,Medium,0.00,0.00,10,10,10,10,10,10,10,0,10,10,10,10
66,"ai in saas",10,86,High,0.00,0.00,10,10,10,10,10,10,0,10,10,10,0,10
67,"ai low",10,5,Low,0.00,0.00,10,0,10,10,10,10,10,10,10,10,10,10
68,"ai no code",10,0,Low,0.00,0.00,10,10,10,10,10,10,10,10,10,10,10,0
69,"ai privacy issues",10,29,Low,0.00,0.00,10,10,10,10,10,10,10,10,10,10,0,10
70,"ai saas platform",10,0,Low,0.00,0.00,10,10,0,10,10,0,0,10,10,10,10,0
71,"ai saas products",10,0,Low,0.00,0.00,10,0,10,10,10,0,0,0,10,10,10,0
72,"ai security issues",10,86,High,0.00,0.00,10,10,10,10,0,10,0,10,10,10,10,10
73,"ai security monitoring",10,0,Low,0.00,0.00,0,10,10,0,10,10,0,0,10,10,0,10
74,"ai security risk",10,69,High,6.96,24.44,10,10,10,10,10,10,0,10,10,10,20,10
75,"ai security vulnerabilities",10,50,Medium,0.00,0.00,10,10,0,0,0,0,0,0,0,10,10,10
76,"ai software app",10,0,Low,0.00,0.00,0,10,10,0,0,10,0,0,10,10,10,0
77,"ai software price",10,0,Low,0.00,0.00,10,0,0,10,0,0,0,0,0,0,0,0
78,"ai software programming",10,0,Low,0.00,0.00,10,10,10,0,0,0,0,10,10,10,10,0
79,"ai terms and conditions",10,0,Low,0.00,0.00,0,10,10,0,0,0,0,10,10,0,10,10
80,"ai that fixes code",10,86,High,0.00,0.00,0,10,0,0,0,0,0,0,0,0,0,10
81,"ai tool download",10,0,Low,0.00,0.00,10,10,10,10,10,0,10,0,10,10,10,0
82,"ai vulnerabilities",10,80,High,5.44,17.58,10,10,10,10,10,10,10,10,10,10,10,10
83,"api and ai",10,0,Low,0.00,0.00,10,0,0,0,0,0,10,0,0,10,0,10
84,"api in ai",10,14,Low,0.00,0.00,10,10,10,10,10,0,10,10,10,10,10,10
85,"app ai free",10,86,High,0.00,0.00,10,10,0,10,10,0,10,0,10,10,10,10
86,"app with ai",10,29,Low,0.00,0.00,10,10,10,10,10,10,10,10,10,10,0,10
87,"back ai",10,0,Low,0.00,0.00,10,10,0,10,0,10,10,10,0,10,10,10
88,"best app ai",10,0,Low,0.00,0.00,10,0,0,0,10,10,10,0,10,10,10,0
89,"best of ai",10,21,Low,0.00,0.00,10,10,10,10,10,10,10,10,10,10,10,10
90,"best websites for ai",10,0,Low,0.00,0.00,10,0,0,10,0,0,0,10,10,0,10,0
91,"build ai app",10,71,High,3.90,9.40,10,10,10,10,10,10,10,10,10,10,10,10
92,"build ai software",10,86,High,0.00,0.00,0,0,10,10,10,0,0,10,0,0,10,10
93,"build an ai app",10,71,High,0.00,0.00,10,0,10,10,10,10,10,10,10,0,0,10
94,"build app ai",10,83,High,4.44,18.62,10,10,20,10,10,10,10,10,10,10,10,10
95,"build your ai",10,0,Low,0.00,0.00,10,10,10,10,0,10,0,10,10,10,0,0
96,"code of ai",10,14,Low,0.00,0.00,10,10,0,10,0,0,0,0,0,10,0,10
97,"data security ai",10,0,Low,0.00,0.00,0,0,0,10,10,10,10,0,10,10,10,0
98,"data security using ai",10,0,Low,0.00,0.00,0,0,0,0,0,0,0,10,0,0,0,0
99,"deployment of ai",10,57,Medium,0.00,0.00,10,0,0,0,0,0,0,0,10,0,0,10
100,"develop ai app",10,0,Low,0.00,0.00,10,0,0,0,0,10,10,0,0,10,10,0
101,"for you ai",10,0,Low,0.00,0.00,0,0,0,0,10,0,10,10,0,0,0,0
102,"free software ai",10,0,Low,0.00,0.00,10,10,10,0,0,0,0,10,0,0,0,10
103,"make own ai",10,64,Medium,1.63,3.81,10,10,10,10,10,10,10,10,10,10,10,10
104,"no code ai free",10,0,Low,0.00,0.00,0,0,0,0,10,0,0,0,0,0,0,0
105,"no code ai tool",10,29,Low,0.00,0.00,10,10,10,90,20,10,10,10,10,10,0,10
106,"privacy and ai",10,38,Medium,0.00,0.00,10,10,10,10,10,10,10,10,10,10,10,10
107,"privacy issues with ai",10,0,Low,0.00,0.00,10,10,0,0,0,0,0,10,10,10,0,0
108,"prototype ai",10,54,Medium,0.00,0.00,10,10,10,10,10,10,10,10,10,10,10,10
109,"security for ai",10,79,High,0.00,0.00,10,10,10,10,10,10,10,0,10,10,10,10
110,"security issues with ai",10,0,Low,0.00,0.00,0,0,0,0,0,10,0,0,10,0,0,0
111,"security of ai",10,0,Low,0.00,0.00,10,10,10,10,10,10,0,0,10,10,10,0
112,"security with ai",10,86,High,0.00,0.00,0,0,0,10,0,0,0,0,10,0,0,10
113,"software engineering for ai",10,52,Medium,0.00,0.00,0,0,0,10,0,10,10,0,0,10,10,10
114,"software for ai",10,71,High,0.00,0.00,0,10,0,10,10,0,0,0,10,0,0,10
115,"software with ai",10,0,Low,0.00,0.00,0,0,0,10,0,0,0,0,0,10,0,0
116,"use ai to generate code",10,0,Low,0.00,0.00,10,0,0,10,0,0,10,0,0,0,10,0
117,"websites for ai",10,29,Low,0.00,0.00,10,10,10,0,0,10,0,10,10,0,10,10
118,"ai and security issues",0,0,Low,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
119,"ai can code",0,0,Low,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
120,"ai software products",0,0,Low,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
121,"ai tool for application",0,0,Low,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
122,"best software for ai",0,0,Low,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
123,"no code ai software",0,0,Low,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
